Time,EGM Signal 1,EGM Signal 2
0,189.0,756.0
1,241.0,2169.0
2,188.0,188.0
3,239.0,956.0
4,187.0,1496.0
5,237.0,0.0
6,186.0,1674.0
7,232.0,928.0
8,186.0,558.0
9,226.0,678.0
10,185.0,1665.0
11,220.0,1760.0
12,184.0,368.0
13,212.0,1060.0
14,189.0,1323.0
15,205.0,1640.0
16,196.0,0.0
17,205.0,1230.0
18,205.0,820.0
19,204.0,1428.0
20,211.0,1266.0
21,202.0,1010.0
22,217.0,1519.0
23,200.0,600.0
24,221.0,1989.0
25,198.0,396.0
26,224.0,672.0
27,196.0,784.0
28,228.0,0.0
29,194.0,388.0
30,229.0,687.0
31,193.0,1351.0
32,232.0,2088.0
33,192.0,192.0
34,233.0,0.0
35,191.0,764.0
36,235.0,705.0
37,190.0,0.0
38,235.0,940.0
39,189.0,0.0
40,233.0,1165.0
41,188.0,564.0
42,229.0,916.0
43,186.0,744.0
44,224.0,2016.0
45,186.0,372.0
46,219.0,1095.0
47,186.0,0.0
48,212.0,424.0
49,186.0,0.0
50,205.0,1845.0
51,191.0,382.0
52,202.0,202.0
53,198.0,1584.0
54,201.0,1407.0
55,205.0,410.0
56,201.0,804.0
57,212.0,636.0
58,199.0,199.0
59,217.0,651.0
60,197.0,0.0
61,221.0,1105.0
62,195.0,975.0
63,225.0,225.0
64,194.0,970.0
65,228.0,456.0
66,193.0,579.0
67,230.0,1610.0
68,191.0,955.0
69,232.0,232.0
70,190.0,760.0
71,233.0,233.0
72,189.0,378.0
73,234.0,234.0
74,189.0,378.0
75,234.0,234.0
76,188.0,188.0
77,231.0,2079.0
78,187.0,1122.0
79,227.0,681.0
80,186.0,186.0
81,222.0,1998.0
82,185.0,1295.0
83,217.0,651.0
84,185.0,1665.0
85,210.0,630.0
86,186.0,1488.0
87,203.0,1624.0
88,192.0,384.0
89,202.0,1010.0
90,200.0,0.0
91,201.0,1407.0
92,207.0,828.0
93,200.0,200.0
94,213.0,1065.0
95,199.0,995.0
96,218.0,654.0
97,197.0,1773.0
98,222.0,888.0
99,194.0,1164.0
100,225.0,225.0
101,193.0,1158.0
102,229.0,0.0
103,192.0,1728.0
104,230.0,460.0
105,190.0,760.0
106,232.0,464.0
107,189.0,189.0
108,234.0,1638.0
109,188.0,376.0
110,235.0,0.0
111,187.0,1309.0
112,234.0,1170.0
113,187.0,374.0
114,230.0,0.0
115,186.0,1488.0
116,226.0,0.0
117,185.0,1295.0
118,221.0,0.0
119,185.0,1480.0
120,215.0,645.0
121,184.0,184.0
122,208.0,1664.0
123,188.0,376.0
124,202.0,0.0
125,194.0,582.0
126,201.0,603.0
127,202.0,1818.0
128,200.0,400.0
129,208.0,208.0
130,199.0,597.0
131,214.0,1070.0
132,197.0,394.0
133,218.0,218.0
134,195.0,780.0
135,222.0,1998.0
136,193.0,965.0
137,226.0,226.0
138,192.0,1536.0
139,228.0,2052.0
140,190.0,190.0
141,231.0,1848.0
142,189.0,1323.0
143,233.0,699.0
144,188.0,1316.0
145,234.0,2106.0
146,187.0,935.0
147,234.0,2106.0
148,186.0,1674.0
149,232.0,928.0
150,185.0,1295.0
151,229.0,229.0
152,183.0,1098.0
153,225.0,2025.0
154,183.0,732.0
155,219.0,1095.0
156,182.0,910.0
157,212.0,636.0
158,182.0,910.0
159,205.0,820.0
160,188.0,376.0
161,202.0,1818.0
162,196.0,784.0
163,201.0,804.0
164,203.0,203.0
165,200.0,1000.0
166,210.0,1050.0
167,198.0,990.0
168,215.0,1720.0
169,195.0,1365.0
170,219.0,1971.0
171,193.0,1351.0
172,223.0,223.0
173,191.0,382.0
174,226.0,1582.0
175,190.0,380.0
176,229.0,229.0
177,188.0,1692.0
178,231.0,1386.0
179,187.0,374.0
180,233.0,466.0
181,186.0,1674.0
182,235.0,940.0
183,185.0,370.0
184,234.0,1170.0
185,184.0,920.0
186,231.0,693.0
187,183.0,1464.0
188,226.0,0.0
189,182.0,1456.0
190,221.0,1105.0
191,181.0,181.0
192,215.0,215.0
193,180.0,0.0
194,208.0,1872.0
195,183.0,732.0
196,202.0,1616.0
197,190.0,1520.0
198,201.0,1809.0
199,198.0,594.0
200,199.0,796.0
201,206.0,206.0
202,198.0,1782.0
203,212.0,1908.0
204,196.0,196.0
205,217.0,217.0
206,194.0,388.0
207,221.0,884.0
208,192.0,768.0
209,224.0,672.0
210,190.0,190.0
211,228.0,1140.0
212,189.0,189.0
213,229.0,0.0
214,187.0,0.0
215,231.0,1386.0
216,186.0,930.0
217,233.0,1165.0
218,186.0,558.0
219,234.0,1638.0
220,185.0,1665.0
221,231.0,1155.0
222,183.0,366.0
223,227.0,1362.0
224,182.0,1274.0
225,222.0,1332.0
226,181.0,543.0
227,217.0,1302.0
228,181.0,362.0
229,211.0,211.0
230,180.0,540.0
231,204.0,204.0
232,186.0,0.0
233,200.0,600.0
234,194.0,1552.0
235,200.0,1000.0
236,202.0,606.0
237,199.0,1393.0
238,209.0,1045.0
239,197.0,788.0
240,214.0,1284.0
241,195.0,1560.0
242,218.0,1526.0
243,193.0,0.0
244,222.0,444.0
