Time,EGM Signal 1,EGM Signal 2
0,217.0,1302.0
1,206.0,412.0
2,222.0,0.0
3,203.0,1624.0
4,227.0,1135.0
5,200.0,200.0
6,232.0,232.0
7,197.0,0.0
8,237.0,2133.0
9,195.0,1170.0
10,240.0,1680.0
11,193.0,1544.0
12,243.0,486.0
13,192.0,1152.0
14,246.0,246.0
15,191.0,191.0
16,247.0,1235.0
17,189.0,756.0
18,245.0,2205.0
19,188.0,376.0
20,242.0,2178.0
21,186.0,372.0
22,237.0,1896.0
23,185.0,185.0
24,231.0,1155.0
25,184.0,0.0
26,224.0,2016.0
27,184.0,184.0
28,216.0,1728.0
29,190.0,1520.0
30,213.0,0.0
31,197.0,1773.0
32,212.0,1060.0
33,205.0,615.0
34,209.0,1881.0
35,212.0,1696.0
36,207.0,621.0
37,218.0,436.0
38,203.0,1218.0
39,223.0,446.0
40,201.0,1206.0
41,228.0,2052.0
42,198.0,396.0
43,233.0,466.0
44,196.0,588.0
45,237.0,1896.0
46,194.0,1552.0
47,241.0,482.0
48,193.0,1351.0
49,244.0,976.0
50,192.0,768.0
51,246.0,246.0
52,191.0,382.0
53,246.0,1476.0
54,189.0,189.0
55,243.0,243.0
56,188.0,188.0
57,239.0,956.0
58,187.0,1496.0
59,234.0,702.0
60,185.0,370.0
61,228.0,1368.0
62,184.0,736.0
63,220.0,1760.0
64,187.0,935.0
65,213.0,1065.0
66,193.0,1737.0
67,212.0,1908.0
68,200.0,600.0
69,210.0,840.0
70,208.0,0.0
71,207.0,1656.0
72,214.0,214.0
73,204.0,1836.0
74,219.0,1752.0
75,201.0,1809.0
76,224.0,224.0
77,198.0,1782.0
78,229.0,1145.0
79,196.0,392.0
80,232.0,0.0
81,194.0,1552.0
82,236.0,944.0
83,192.0,768.0
84,240.0,960.0
85,190.0,570.0
86,242.0,1936.0
87,189.0,945.0
88,243.0,243.0
89,187.0,935.0
90,242.0,1210.0
91,186.0,186.0
92,239.0,2151.0
93,185.0,370.0
94,235.0,1645.0
95,184.0,552.0
96,229.0,1832.0
97,184.0,1472.0
98,223.0,1784.0
99,183.0,1647.0
100,216.0,216.0
101,188.0,376.0
102,211.0,1688.0
103,195.0,1170.0
104,210.0,1890.0
105,203.0,203.0
106,208.0,624.0
107,210.0,630.0
108,206.0,412.0
109,216.0,648.0
110,203.0,1827.0
111,222.0,1998.0
112,201.0,1608.0
113,227.0,681.0
114,198.0,1386.0
115,231.0,2079.0
116,196.0,1764.0
117,234.0,234.0
118,193.0,772.0
119,237.0,237.0
120,192.0,1536.0
121,240.0,1920.0
122,190.0,190.0
123,242.0,242.0
124,189.0,756.0
125,243.0,1701.0
126,188.0,940.0
127,240.0,720.0
128,186.0,1488.0
129,237.0,948.0
130,185.0,1480.0
131,232.0,1392.0
132,184.0,1656.0
133,225.0,450.0
134,183.0,0.0
135,218.0,872.0
136,184.0,920.0
137,210.0,1680.0
138,190.0,1710.0
139,208.0,624.0
140,198.0,1386.0
141,207.0,1656.0
142,206.0,1442.0
143,204.0,612.0
144,213.0,1491.0
145,202.0,0.0
146,218.0,872.0
147,199.0,0.0
148,222.0,0.0
149,197.0,1773.0
150,226.0,2034.0
151,195.0,1755.0
152,231.0,924.0
153,193.0,1737.0
154,234.0,1404.0
155,191.0,1528.0
156,237.0,474.0
157,190.0,0.0
158,240.0,2160.0
159,189.0,756.0
160,241.0,2169.0
161,188.0,188.0
162,239.0,956.0
163,187.0,1496.0
164,237.0,0.0
165,186.0,1674.0
166,232.0,928.0
167,186.0,558.0
168,226.0,678.0
169,185.0,1665.0
170,220.0,1760.0
171,184.0,368.0
172,212.0,1060.0
173,189.0,1323.0
174,205.0,1640.0
175,196.0,0.0
176,205.0,1230.0
177,205.0,820.0
178,204.0,1428.0
179,211.0,1266.0
180,202.0,1010.0
181,217.0,1519.0
182,200.0,600.0
183,221.0,1989.0
184,198.0,396.0
185,224.0,672.0
186,196.0,784.0
187,228.0,0.0
188,194.0,388.0
189,229.0,687.0
190,193.0,1351.0
191,232.0,2088.0
192,192.0,192.0
193,233.0,0.0
194,191.0,764.0
195,235.0,705.0
196,190.0,0.0
197,235.0,940.0
198,189.0,0.0
199,233.0,1165.0
200,188.0,564.0
201,229.0,916.0
202,186.0,744.0
203,224.0,2016.0
204,186.0,372.0
205,219.0,1095.0
206,186.0,0.0
207,212.0,424.0
208,186.0,0.0
209,205.0,1845.0
210,191.0,382.0
211,202.0,202.0
212,198.0,1584.0
213,201.0,1407.0
214,205.0,410.0
215,201.0,804.0
216,212.0,636.0
217,199.0,199.0
218,217.0,651.0
219,197.0,0.0
220,221.0,1105.0
221,195.0,975.0
222,225.0,225.0
223,194.0,970.0
224,228.0,456.0
225,193.0,579.0
226,230.0,1610.0
227,191.0,955.0
228,232.0,232.0
229,190.0,760.0
230,233.0,233.0
231,189.0,378.0
232,234.0,234.0
233,189.0,378.0
234,234.0,234.0
235,188.0,188.0
236,231.0,2079.0
237,187.0,1122.0
238,227.0,681.0
239,186.0,186.0
240,222.0,1998.0
241,185.0,1295.0
242,217.0,651.0
243,185.0,1665.0
244,210.0,630.0
245,186.0,1488.0
246,203.0,1624.0
247,192.0,384.0
248,202.0,1010.0
249,200.0,0.0
250,201.0,1407.0
251,207.0,828.0
252,200.0,200.0
253,213.0,1065.0
254,199.0,995.0
255,218.0,654.0
256,197.0,1773.0
257,222.0,888.0
258,194.0,1164.0
259,225.0,225.0
260,193.0,1158.0
261,229.0,0.0
262,192.0,1728.0
263,230.0,460.0
264,190.0,760.0
265,232.0,464.0
266,189.0,189.0
267,234.0,1638.0
